2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 量子位
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 量子位 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 新智元
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 新智元 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: AI前线
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 AI前线 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:21:57.625 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 雷锋网
2025-09-07 08:21:57.625 | ERROR    | crawler.main:crawl_news_sources:136 - 爬取 雷锋网 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:21:57.626 | INFO     | crawler.main:crawl_news_sources:147 - 总共获取到 0 篇去重后的文章
2025-09-07 08:22:12.216 | INFO     | crawler.main:cleanup:267 - 爬虫引擎已关闭
2025-09-07 08:22:12.217 | INFO     | api.server:shutdown_event:95 - API服务已关闭
2025-09-07 08:22:13.772 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:22:13.772 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:22:14.791 | INFO     | crawler.main:cleanup:267 - 爬虫引擎已关闭
2025-09-07 08:22:14.791 | INFO     | api.server:shutdown_event:95 - API服务已关闭
2025-09-07 08:22:15.945 | INFO     | crawler.main:init_crawler:61 - 爬虫引擎初始化成功
2025-09-07 08:22:15.945 | INFO     | api.server:startup_event:83 - API服务启动成功
2025-09-07 08:22:18.800 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 36氪
2025-09-07 08:22:18.800 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 36氪 时发生错误: 'ForwardRef' object is not callable
2025-09-07 08:22:18.801 | INFO     | crawler.main:crawl_news_sources:72 - 开始爬取: 虎嗅网
2025-09-07 08:22:18.801 | ERROR    | crawler.main:crawl_news_sources:135 - 爬取 虎嗅网 时发生错误: 'ForwardRef' object is not callable
